location,date,total
baye-de-montreux-g,2015-11-23,5.75
baye-de-montreux-g,2015-12-04,8.4
baye-de-montreux-g,2015-12-10,5.07
baye-de-montreux-g,2015-12-17,4.22
baye-de-montreux-g,2015-12-30,5.89
baye-de-montreux-g,2016-01-13,6.37
baye-de-montreux-g,2016-01-19,1.26
baye-de-montreux-g,2016-02-11,1.9
baye-de-montreux-g,2016-03-10,3.11
baye-de-montreux-g,2016-06-22,3.59
baye-de-montreux-g,2016-07-15,5.43
baye-de-montreux-g,2016-12-16,12.37
baye-de-clarens,2015-11-24,1.65
baye-de-clarens,2015-12-02,0.64
baye-de-clarens,2015-12-08,3.33
baye-de-clarens,2015-12-16,2.74
baye-de-clarens,2016-01-06,1.85
baye-de-clarens,2016-01-23,8.38
baye-de-clarens,2016-02-10,2.03
baye-de-clarens,2016-03-24,3.18
baye-de-clarens,2016-03-31,7.26
baye-de-clarens,2016-04-07,4.74
baye-de-clarens,2016-04-14,0.85
baye-de-clarens,2016-05-10,4.21
baye-de-clarens,2016-05-17,1.6
veveyse,2015-11-27,4.12
veveyse,2015-12-01,0.99
veveyse,2015-12-07,3.66
veveyse,2015-12-14,2.47
veveyse,2016-01-08,2.8
veveyse,2016-01-15,2.78
veveyse,2016-01-21,2.75
veveyse,2016-02-09,2.4
veveyse,2016-03-11,4.67
veveyse,2016-04-02,4.6
veveyse,2016-04-12,3.28
veveyse,2016-04-19,4.71
veveyse,2016-06-17,5.41
veveyse,2016-11-14,3.43
veveyse,2016-11-28,6.43
veveyse,2016-12-05,6.04
veveyse,2017-01-05,6.82
baye-de-montreux-d,2015-12-04,6.98
baye-de-montreux-d,2015-12-10,9.65
baye-de-montreux-d,2015-12-17,2.56
baye-de-montreux-d,2016-01-07,2.39
baye-de-montreux-d,2016-01-19,1.59
baye-de-montreux-d,2016-03-24,2.87
baye-de-montreux-d,2016-04-07,3.73
baye-de-montreux-d,2016-04-14,2.13
baye-de-montreux-d,2016-05-17,4.93
baye-de-montreux-d,2016-05-28,4.88
baye-de-montreux-d,2016-06-28,10.67
baye-de-montreux-d,2016-07-05,4.35
baye-de-montreux-d,2016-07-10,5.36
baye-de-montreux-d,2016-07-16,14.53
baye-de-montreux-d,2016-07-19,6.98
baye-de-montreux-d,2016-12-16,2.57
le-pierrier,2016-01-13,11.36
le-pierrier,2016-03-14,26.82
le-pierrier,2016-05-30,14.83
le-pierrier,2017-05-25,18.36
arabie,2016-01-24,50.06
arabie,2016-04-02,15.74
arabie,2016-08-25,12.99
arabie,2017-02-16,3.81
arabie,2018-05-08,4.94
bain-des-dames,2016-03-26,34.97
bain-des-dames,2017-05-19,17.54
bain-des-dames,2018-07-22,18.97
maladaire,2016-03-31,12.25
maladaire,2016-05-31,11.72
villa-barton,2016-04-02,17.12
villa-barton,2016-04-10,5.63
villa-barton,2016-04-16,3.97
villa-barton,2016-04-22,7.7
villa-barton,2016-05-02,3.69
villa-barton,2016-05-08,4.68
villa-barton,2016-06-05,9.28
villa-barton,2016-07-21,12.57
villa-barton,2016-07-22,23.11
oyonne,2016-04-10,22.38
oyonne,2017-01-31,24.61
le-port,2016-04-19,33.55
jardin-botanique,2016-04-24,15.42
jardin-botanique,2016-05-03,5.76
jardin-botanique,2016-05-08,4.85
boiron,2016-04-28,3.3
pierrier-sud,2016-05-10,39.56
vidy,2016-06-07,6.86
grand-clos,2016-09-21,41.47
grand-clos,2017-10-22,6.55
parc-des-pierrettes,2016-10-13,14.39
parc-des-pierrettes,2017-10-05,6.15
parc-des-pierrettes,2019-10-10,5.31
plage-de-st-sulpice,2016-10-13,28.13
plage-de-st-sulpice,2017-10-05,8.92
versoix,2016-11-17,9.16
quai-maria-belgia,2016-11-21,22.34
quai-maria-belgia,2016-12-20,8.8
quai-maria-belgia,2017-01-20,1.0
quai-maria-belgia,2017-04-03,6.85
quai-maria-belgia,2017-06-08,39.55
