date,code,pcs_m,quantity,location
2020-03-15,G100,0.01,1,plage-de-cheyres
2020-03-15,G82,0.15,15,plage-de-cheyres
2020-03-15,G27,0.12,12,plage-de-cheyres
2020-03-15,G28,0.01,1,plage-de-cheyres
2020-03-15,G67,0.05,5,plage-de-cheyres
2020-03-15,G35,0.01,1,plage-de-cheyres
2020-03-15,G131,0.01,1,plage-de-cheyres
2020-03-15,G178,0.01,1,plage-de-cheyres
2020-03-15,G117,0.03,3,plage-de-cheyres
2020-03-15,G79,0.05,5,plage-de-cheyres
2020-03-15,G158,0.03,3,plage-de-cheyres
2020-03-15,G33,0.01,1,plage-de-cheyres
2020-03-15,G200,0.05,5,plage-de-cheyres
2020-03-15,G30,0.05,5,plage-de-cheyres
2020-03-15,G32,0.01,1,plage-de-cheyres
2020-03-08,G90,0.02,1,thunersee_spiez_meierd_1
2020-03-08,G186,0.08,5,thunersee_spiez_meierd_1
2020-03-08,G117,0.05,3,thunersee_spiez_meierd_1
2020-03-08,G27,0.05,3,thunersee_spiez_meierd_1
2020-03-08,G79,0.05,3,thunersee_spiez_meierd_1
2020-03-08,G204,0.06,4,thunersee_spiez_meierd_1
2020-03-08,G148,0.03,2,thunersee_spiez_meierd_1
2020-03-08,G82,0.11,7,thunersee_spiez_meierd_1
2020-03-08,G200,0.26,17,thunersee_spiez_meierd_1
2018-03-25,G4,0.03,1,thunersee_spiez_meierd_1
2018-03-25,G208,0.1,3,thunersee_spiez_meierd_1
2018-03-25,G30,0.03,1,thunersee_spiez_meierd_1
2018-03-25,G27,0.21,6,thunersee_spiez_meierd_1
2018-02-15,G79,0.03,1,thunersee_spiez_meierd_1
2018-02-15,G66,0.03,1,thunersee_spiez_meierd_1
2018-02-15,G208,0.07,2,thunersee_spiez_meierd_1
2018-02-15,G35,0.03,1,thunersee_spiez_meierd_1
2018-02-15,G82,0.03,1,thunersee_spiez_meierd_1
2018-02-15,G27,0.17,5,thunersee_spiez_meierd_1
2018-01-15,G79,0.03,1,thunersee_spiez_meierd_1
2018-01-15,G210,0.14,4,thunersee_spiez_meierd_1
2018-01-15,G27,0.03,1,thunersee_spiez_meierd_1
2018-01-15,G198,0.07,2,thunersee_spiez_meierd_1
2018-01-15,G3,0.03,1,thunersee_spiez_meierd_1
